,tweet_id,timestamp,source,text,name,dog_stage,rating_numerator,rating_denominator,favorite_count,retweet_count,jpg_url,img_num,p1_dogbreed,p1_conf,p1_BOOL,p2_dogbreed,p2_conf,p2_BOOL,p3_dogbreed,p3_conf,p3_BOOL
0,892420643555336193,2017-08-01 16:23:56 +0000,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,None,13.0,10,38432.0,8446.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,orange,0.0970486,False,bagel,0.08585110000000001,False,banana,0.07611,False
1,892177421306343426,2017-08-01 00:17:27 +0000,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,None,13.0,10,32924.0,6223.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,Chihuahua,0.323581,True,Pekinese,0.0906465,True,papillon,0.0689569,True
2,891815181378084864,2017-07-31 00:18:03 +0000,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,None,12.0,10,24813.0,4125.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,Chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
3,891689557279858688,2017-07-30 15:58:51 +0000,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,None,13.0,10,41784.0,8578.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,paper_towel,0.17027799999999998,False,Labrador_retriever,0.168086,True,spatula,0.0408359,False
4,891327558926688256,2017-07-29 16:00:24 +0000,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,None,12.0,10,39945.0,9307.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,basset,0.555712,True,English_springer,0.22577,True,German_short-haired_pointer,0.175219,True
5,890971913173991426,2017-07-28 16:27:12 +0000,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,None,13.0,10,11732.0,2051.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,Appenzeller,0.34170300000000003,True,Border_collie,0.199287,True,ice_lolly,0.193548,False
6,890609185150312448,2017-07-27 16:25:51 +0000,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,None,13.0,10,27575.0,4234.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,Irish_terrier,0.487574,True,Irish_setter,0.193054,True,Chesapeake_Bay_retriever,0.118184,True
7,890240255349198849,2017-07-26 15:59:51 +0000,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,14.0,10,31634.0,7342.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
8,890006608113172480,2017-07-26 00:31:25 +0000,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,None,13.0,10,30398.0,7277.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,Samoyed,0.957979,True,Pomeranian,0.0138835,True,chow,0.00816748,True
9,889880896479866881,2017-07-25 16:11:53 +0000,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,None,13.0,10,27536.0,4934.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1.0,French_bulldog,0.377417,True,Labrador_retriever,0.151317,True,muzzle,0.0829811,False
10,889638837579907072,2017-07-25 00:10:02 +0000,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,None,12.0,10,26920.0,4501.0,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1.0,French_bulldog,0.99165,True,boxer,0.00212864,True,Staffordshire_bullterrier,0.00149818,True
11,889531135344209921,2017-07-24 17:02:04 +0000,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,puppo,13.0,10,14959.0,2220.0,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1.0,golden_retriever,0.953442,True,Labrador_retriever,0.0138341,True,redbone,0.00795775,True
12,889278841981685760,2017-07-24 00:19:32 +0000,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,None,13.0,10,25075.0,5376.0,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1.0,whippet,0.626152,True,borzoi,0.194742,True,Saluki,0.0273507,True
13,888917238123831296,2017-07-23 00:22:39 +0000,Twitter for iPhone,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,None,12.0,10,28832.0,4468.0,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1.0,golden_retriever,0.714719,True,Tibetan_mastiff,0.120184,True,Labrador_retriever,0.105506,True
14,888804989199671297,2017-07-22 16:56:37 +0000,Twitter for iPhone,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,None,13.0,10,25363.0,4287.0,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1.0,golden_retriever,0.46976,True,Labrador_retriever,0.184172,True,English_setter,0.0734817,True
15,888554962724278272,2017-07-22 00:23:06 +0000,Twitter for iPhone,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,None,13.0,10,19700.0,3553.0,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3.0,Siberian_husky,0.700377,True,Eskimo_dog,0.166511,True,malamute,0.111411,True
17,888078434458587136,2017-07-20 16:49:33 +0000,Twitter for iPhone,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Gerald,None,12.0,10,21563.0,3469.0,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1.0,French_bulldog,0.995026,True,pug,0.000931908,True,bull_mastiff,0.000903211,True
18,887705289381826560,2017-07-19 16:06:48 +0000,Twitter for iPhone,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,Jeffrey,None,13.0,10,29898.0,5342.0,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1.0,basset,0.821664,True,redbone,0.0875815,True,Weimaraner,0.026236400000000003,True
19,887517139158093824,2017-07-19 03:39:09 +0000,Twitter for iPhone,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,such,None,14.0,10,45840.0,11590.0,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1.0,limousine,0.130432,False,tow_truck,0.0291754,False,shopping_cart,0.0263208,False
20,887473957103951883,2017-07-19 00:47:34 +0000,Twitter for iPhone,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,Canela,None,13.0,10,68498.0,18056.0,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2.0,Pembroke,0.809197,True,Rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True
21,886983233522544640,2017-07-17 16:17:36 +0000,Twitter for iPhone,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,Maya,None,13.0,10,34863.0,7718.0,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2.0,Chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False
22,886736880519319552,2017-07-16 23:58:41 +0000,Twitter for iPhone,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",Mingus,None,13.0,10,11952.0,3268.0,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1.0,kuvasz,0.309706,True,Great_Pyrenees,0.186136,True,Dandie_Dinmont,0.08634630000000001,True
23,886680336477933568,2017-07-16 20:14:00 +0000,Twitter for iPhone,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,Derek,None,13.0,10,22237.0,4434.0,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1.0,convertible,0.738995,False,sports_car,0.139952,False,car_wheel,0.0441727,False
24,886366144734445568,2017-07-15 23:25:31 +0000,Twitter for iPhone,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,Roscoe,pupper,12.0,10,21008.0,3177.0,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1.0,French_bulldog,0.999201,True,Chihuahua,0.000361178,True,Boston_bull,7.55616e-05,True
25,886258384151887873,2017-07-15 16:17:19 +0000,Twitter for iPhone,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,Waffles,None,13.0,10,27742.0,6229.0,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,1.0,pug,0.943575,True,shower_cap,0.0252856,False,Siamese_cat,0.00284892,False
26,885984800019947520,2017-07-14 22:10:11 +0000,Twitter for iPhone,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,Jimbo,None,12.0,10,32412.0,6764.0,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1.0,Blenheim_spaniel,0.972494,True,Shih-Tzu,0.00663012,True,Bernese_mountain_dog,0.00623915,True
27,885528943205470208,2017-07-13 15:58:47 +0000,Twitter for iPhone,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,Maisey,None,13.0,10,35663.0,6381.0,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1.0,pug,0.369275,True,Labrador_retriever,0.265835,True,kuvasz,0.134697,True
28,885311592912609280,2017-07-13 01:35:06 +0000,Twitter for iPhone,RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,Lilly,None,13.0,10,0.0,18471.0,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,1.0,Labrador_retriever,0.908703,True,seat_belt,0.0570909,False,pug,0.0119335,True
